Id,TotRmsAbvGrd,GrLivArea,TotalBsmtSF,1stFlrSF,GarageCars,GarageArea,FullBath,HalfBath,OverallQual,YearBuilt,SalePrice
1,8,1710,856,856,2,548,2,1,7,2003,208500
2,6,1262,1262,1262,2,460,2,0,6,1976,181500
3,6,1786,920,920,2,608,2,1,7,2001,223500
4,7,1717,756,961,3,642,1,0,7,1915,140000
5,9,2198,1145,1145,3,836,2,1,8,2000,250000
6,5,1362,796,796,2,480,1,1,5,1993,143000
7,7,1694,1686,1694,2,636,2,0,8,2004,307000
8,7,2090,1107,1107,2,484,2,1,7,1973,200000
9,8,1774,952,1022,2,468,2,0,7,1931,129900
10,5,1077,991,1077,1,205,1,0,5,1939,118000
11,5,1040,1040,1040,1,384,1,0,5,1965,129500
12,11,2324,1175,1182,3,736,3,0,9,2005,345000
13,4,912,912,912,1,352,1,0,5,1962,144000
14,7,1494,1494,1494,3,840,2,0,7,2006,279500
15,5,1253,1253,1253,1,352,1,1,6,1960,157000
16,5,854,832,854,2,576,1,0,7,1929,132000
17,5,1004,1004,1004,2,480,1,0,6,1970,149000
18,6,1296,0,1296,2,516,2,0,4,1967,90000
19,6,1114,1114,1114,2,576,1,1,5,2004,159000
20,6,1339,1029,1339,1,294,1,0,5,1958,139000
21,9,2376,1158,1158,3,853,3,1,8,2005,325300
22,6,1108,637,1108,1,280,1,0,7,1930,139400
23,7,1795,1777,1795,2,534,2,0,8,2002,230000
24,6,1060,1040,1060,2,572,1,0,5,1976,129900
25,6,1060,1060,1060,1,270,1,0,5,1968,154000
26,7,1600,1566,1600,3,890,2,0,8,2007,256300
27,5,900,900,900,2,576,1,0,5,1951,134800
28,7,1704,1704,1704,3,772,2,0,8,2007,306000
29,6,1600,1484,1600,1,319,1,0,5,1957,207500
30,4,520,520,520,1,240,1,0,4,1927,68500
31,6,1317,649,649,1,250,1,0,4,1920,40000
32,6,1228,1228,1228,1,271,1,1,5,1966,149350
33,7,1234,1234,1234,2,484,2,0,8,2007,179900
34,6,1700,1398,1700,2,447,1,1,5,1959,165500
35,6,1561,1561,1561,2,556,2,0,9,2005,277500
36,9,2452,1117,1132,3,691,3,1,8,2004,309000
37,6,1097,1097,1097,2,672,1,1,5,1994,145000
38,5,1297,1297,1297,2,498,1,0,5,1954,153000
39,5,1057,1057,1057,1,246,1,0,5,1953,109000
40,6,1152,0,1152,0,0,2,0,4,1955,82000
41,6,1324,1088,1324,2,440,2,0,6,1965,160000
42,5,1328,1350,1328,1,308,1,1,5,1959,170000
43,5,884,840,884,2,504,1,0,5,1983,144000
44,5,938,938,938,1,308,1,0,5,1975,130250
45,6,1150,1150,1150,1,300,1,0,5,1959,141000
46,6,1752,1752,1752,2,576,2,0,9,2005,319900
