Id,TotRmsAbvGrd,GrLivArea,1stFlrSF,GarageCars,GarageArea,OverallQual,YearBuilt,SalePrice
1,8,1710,856,2,548.0,Gd,2003,"208,500$"
2,6,1262,1262,2,460.0,AA,1976,"181,500$"
3,6,1786,920,2,608.0,Gd,2001,"223,500$"
4,7,1717,961,3,642.0,Gd,1915,"140,000$"
5,9,2198,1145,3,836.0,VG,2000,"250,000$"
6,5,1362,796,2,480.0,Average,1993,"143,000$"
7,7,1694,1694,2,636.0,VG,2004,"307,000$"
8,7,2090,1107,2,484.0,Gd,1973,"200,000$"
9,8,1774,1022,2,,Gd,1931,"129,900$"
10,5,1077,1077,1,205.0,Av,1939,"118,000$"
11,5,1040,1040,1,384.0,Av,1965,"129,500$"
12,11,2324,1182,3,736.0,Ex,2005,"345,000$"
13,4,912,912,1,352.0,Average,1962,"144,000$"
14,7,1494,1494,3,840.0,Gd,2006,"279,500$"
15,5,1253,1253,1,352.0,AA,1960,"157,000$"
16,5,854,854,2,576.0,Gd,1929,"132,000$"
17,5,1004,1004,2,480.0,AA,1970,"149,000$"
18,6,1296,1296,2,516.0,BA,1967,"90,000$"
19,6,1114,1114,2,576.0,Av,2004,"159,000$"
20,6,1339,1339,1,294.0,Av,1958,"139,000$"
21,9,2376,1158,3,853.0,VG,2005,"325,300$"
22,6,1108,1108,1,280.0,Gd,1930,"139,400$"
23,7,1795,1795,2,534.0,VG,2002,"230,000$"
24,6,1060,1060,2,572.0,Av,1976,"129,900$"
25,6,1060,1060,1,270.0,Av,1968,"154,000$"
26,7,1600,1600,3,890.0,VG,2007,"256,300$"
27,5,900,900,2,576.0,Av,1951,"134,800$"
28,7,1704,1704,3,772.0,VG,2007,"306,000$"
29,6,1600,1600,1,319.0,Av,1957,"207,500$"
30,4,520,520,1,240.0,BA,1927,"68,500$"
31,6,1317,649,1,250.0,BA,1920,"40,000$"
32,6,1228,1228,1,271.0,Av,1966,"149,350$"
33,7,1234,1234,2,484.0,VG,2007,"179,900$"
34,6,1700,1700,2,447.0,Av,1959,"165,500$"
35,6,1561,1561,2,556.0,Ex,2005,"277,500$"
36,9,2452,1132,3,691.0,VG,2004,"309,000$"
37,6,1097,1097,2,672.0,Av,1994,"145,000$"
38,5,1297,1297,2,498.0,Av,1954,"153,000$"
39,5,1057,1057,1,246.0,Av,1953,"109,000$"
40,6,1152,1152,0,0.0,BA,1955,"82,000$"
41,6,1324,1324,2,440.0,AA,1965,"160,000$"
42,5,1328,1328,1,308.0,Av,1959,"170,000$"
43,5,884,884,2,504.0,Av,1983,"144,000$"
44,5,938,938,1,308.0,Av,1975,"130,250$"
45,6,1150,1150,1,300.0,Av,1959,"141,000$"
46,6,1752,1752,2,576.0,Ex,2005,"319,900$"
47,6,2149,1518,2,670.0,Gd,2003,"239,686$"
48,7,1656,1656,3,826.0,VG,2006,"249,700$"
49,8,1452,736,0,0.0,BA,1920,"113,000$"
50,6,955,955,1,386.0,Av,1966,"127,000$"
51,6,1470,794,2,388.0,AA,1997,"177,000$"
52,6,1176,816,2,528.0,AA,1934,"114,500$"
53,5,816,816,2,516.0,Av,1963,"110,000$"
54,5,1842,1842,3,894.0,Ex,1981,"385,000$"
