,Id,TotRmsAbvGrd,GrLivArea,1stFlrSF,GarageCars,GarageArea,OverallQual,YearBuilt,SalePrice($)
0,1,8,1710,856,2,548.0,Gd,2003,208500
1,2,6,1262,1262,2,460.0,AA,1976,181500
2,3,6,1786,920,2,608.0,Gd,2001,223500
3,4,7,1717,961,3,642.0,Gd,1915,140000
4,5,9,2198,1145,3,836.0,VG,2000,250000
5,6,5,1362,796,2,480.0,Average,1993,143000
6,7,7,1694,1694,2,636.0,VG,2004,307000
7,8,7,2090,1107,2,484.0,Gd,1973,200000
8,9,8,1774,1022,2,520.0,Gd,1931,129900
9,10,5,1077,1077,1,205.0,Av,1939,118000
10,11,5,1040,1040,1,384.0,Av,1965,129500
11,12,11,2324,1182,3,736.0,Ex,2005,345000
12,13,4,912,912,1,352.0,Average,1962,144000
13,14,7,1494,1494,3,840.0,Gd,2006,279500
14,15,5,1253,1253,1,352.0,AA,1960,157000
15,16,5,854,854,2,576.0,Gd,1929,132000
16,17,5,1004,1004,2,480.0,AA,1970,149000
17,18,6,1296,1296,2,516.0,BA,1967,90000
18,19,6,1114,1114,2,576.0,Av,2004,159000
19,20,6,1339,1339,1,294.0,Av,1958,139000
20,21,9,2376,1158,3,853.0,VG,2005,325300
21,22,6,1108,1108,1,280.0,Gd,1930,139400
22,23,7,1795,1795,2,534.0,VG,2002,230000
23,24,6,1060,1060,2,572.0,Av,1976,129900
24,25,6,1060,1060,1,270.0,Av,1968,154000
25,26,7,1600,1600,3,890.0,VG,2007,256300
26,27,5,900,900,2,576.0,Av,1951,134800
27,28,7,1704,1704,3,772.0,VG,2007,306000
28,29,6,1600,1600,1,319.0,Av,1957,207500
29,30,4,520,520,1,240.0,BA,1927,68500
30,31,6,1317,649,1,250.0,BA,1920,40000
31,32,6,1228,1228,1,271.0,Av,1966,149350
32,33,7,1234,1234,2,484.0,VG,2007,179900
33,34,6,1700,1700,2,447.0,Av,1959,165500
34,35,6,1561,1561,2,556.0,Ex,2005,277500
35,36,9,2452,1132,3,691.0,VG,2004,309000
36,37,6,1097,1097,2,672.0,Av,1994,145000
37,38,5,1297,1297,2,498.0,Av,1954,153000
38,39,5,1057,1057,1,246.0,Av,1953,109000
