,ERA_평균 자책점,SO_삼진
1,1.29,6
2,1.5,8
3,1.13,7
4,6,11
5,4,9
6,6,3
7,1.13,3
8,2,8
9,2.57,6
10,2.25,4
11,2.25,9
12,1.5,5
13,3,9
14,4.5,3
15,3,11
16,5.14,9
17,5.14,8
18,1.13,3
19,1.29,9
20,6,4
21,3,3
22,6,11
23,1.29,10
24,1.13,7
25,4,8
26,4,3
27,4.5,7
28,5.14,4
29,1.29,8
30,1.13,3
31,2.57,5
32,1,11
33,3.38,7
34,1.13,6
35,1.5,7
36,6,6
37,2.25,5
38,2,5
39,1.13,5
40,3.86,5
41,3,4
42,4,6
43,3.38,11
44,2,11
45,5.14,10
46,1.29,11
47,2.25,4
48,3.86,10
49,3.86,10
50,6,3
51,3.38,4
52,4.5,3
53,3.86,9
54,3,9
55,1,6
56,2.25,11
57,2,10
58,1.5,4
59,3,11
60,4.5,11
61,3,6
62,1.29,9
63,6,8
64,1,11
65,4.5,5
66,3,3
67,3.86,10
68,1,8
69,1.13,10
70,4,5
71,1.29,8
72,3,3
73,1.5,11
74,3,9
75,4,5
76,4.5,5
77,1.29,4
78,4.5,11
79,5.14,10
80,6,8
81,1,9
82,3,6
83,3.86,6
84,3,6
85,4.5,7
86,4,4
87,4.5,7
88,5.14,5
89,3.38,10
90,3.86,3
91,1.29,11
92,1,10
93,3,7
94,4,4
95,5.14,5
96,2,5
97,3.38,8
98,1.29,9
99,5.14,7
100,3.86,6
